name,model,year,price,color,fuelType,carOrigin,carInsurance,gearType,mirrorType,motorPower,drivenKm,passengers,paymentMethod,saleType,secondHandStatus
كيا,اوبتيما,2014,100000,أبيضعاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,75000,5,نقدا فقط ,للبيع فقط ,1
كيا,سورينتو,2007,60000,سكني,ديزل,خصوصي,فلسطينية,نصفاوتوماتيك,الكتروني,2500,130000,8,إمكانية التقسيط ,للبيع أو التبديل ,2
فيات,127,1982,5500,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,906,,5,إمكانية التقسيط ,للبيع فقط ,1
بيجو,208,2014,54000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,1200,3,,نقدا فقط ,
بي,x3,2015,205000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,2000,6,نقدا فقط ,للبيع فقط ,1
اوبل,كورسا,2015,65000,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,123456,5,إمكانية التقسيط ,للبيع فقط ,1
مرسيدس,C200,2014,230000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,50000,5,إمكانية التقسيط ,للبيع فقط ,1
نيسان,باترول,2003,84000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,4500,56000,8,إمكانية التقسيط ,للبيع فقط ,1
فورد,ترانزيت,2005,75000,أبيضعاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,460000,8,إمكانية التقسيط ,للبيع أو التبديل ,1
بيجو,206+,2012,39000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,1400,5,نقدا فقط ,للبيع فقط ,2
سكودا,فابيا,2016,73000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,45000,5,نقدا فقط ,للبيع فقط ,1
فيات,1998,1998,30000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,70000,5,إمكانية التقسيط ,للبيع أو التبديل ,4
كيا,برايد,2014,66000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1400,79000,5,نقدا فقط ,للبيع فقط ,1
بيجو,بارتنر,2011,55000,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,1600,0,نقدا فقط ,للبيع فقط ,2
فولكسفاجن,كادي,2014,100000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,1600,1,,إمكانية التقسيط ,
هوندا,اكورد,1997,2600,ذهبي,بنزين,خصوصي,نمرةصفراء,اوتوماتيك,الكتروني,1800,210000,5,نقدا فقط ,للبيع فقط ,3
اوبل,اسكونا,1967,1800,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1200,1000,5,إمكانية التقسيط ,للبيع فقط ,2
هونداي,سانتافيه,2008,77000,أزرقسماوي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,20000,7,نقدا فقط ,للبيع فقط ,3
هونداي,الانترا,1999,20000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,5,نقدا فقط ,للبيع فقط ,3
هونداي,i30,2010,61000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,113000,5,إمكانية التقسيط ,للبيع فقط ,2
فورد,فيستا,2014,47000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,33000,5,نقدا فقط ,للتبديل فقط ,1
سكودا,رابيد,2014,71000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,1600,5,نقدا فقط ,للبيع فقط ,
كيا,فورتي,2011,67000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,1600,3,,نقدا فقط ,
اوبل,كاديت,1982,17500,أبيضعاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1300,,5,نقدا فقط ,للبيع فقط ,1
هونداي,اكسنت,2016,67000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,22000,5,إمكانية التقسيط ,للبيع أو التبديل ,1
فولكسفاجن,بولو,2012,60000,أسودميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,1400,5,نقدا فقط ,للبيع أو التبديل ,2
دايو,لانوس,1999,30000,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1500,1500,5,نقدا فقط ,للبيع فقط ,3
فولكسفاجن,كادي,2012,115000,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150000,7,إمكانية التقسيط ,للبيع فقط ,2
هونداي,توسان,2014,109000,فيراني,ديزل,خصوصي,فلسطينية,نصفاوتوماتيك,الكتروني,2000,29000,5,إمكانية التقسيط ,للبيع أو التبديل ,
هونداي,افانتي,2006,42000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,1600,4,إمكانية التقسيط ,للبيع أو التبديل ,2
فولكسفاجن,توران,2011,85000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,250000,7,نقدا فقط ,للبيع فقط ,2
شفروليه,اوبترا,2006,32500,أبيضعاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,5,نقدا فقط ,للبيع أو التبديل ,3
اوبل,كورسا,2003,33500,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,122000,5,نقدا فقط ,للبيع فقط ,1
فولكسفاجن,توران,2012,97000,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,1600,7,إمكانية التقسيط ,للبيع أو التبديل ,1
فورد,فيستا,2012,45000,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,78000,5,نقدا فقط ,للبيع فقط ,1
دايو,رايسر,1996,21000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,,5,إمكانية التقسيط ,للبيع فقط ,3
اوبل,كورسا,2015,56500,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,22000,6,نقدا فقط ,للبيع فقط ,1
جييب,شيروكي,2003,85000,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3700,130000,5,إمكانية التقسيط ,للبيع أو التبديل ,1
فولكسفاجن,كرافيل,2008,75000,برتقالي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,2500,8,نقدا فقط ,للبيع فقط ,1
هونداي,جيتس,2007,40000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,5,نقدا فقط ,للبيع فقط ,3
سكودا,اوكتافيا,2015,113000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,7000,5,إمكانية التقسيط ,للبيع أو التبديل ,1
فولكسفاجن,بولو,1997,25000,أبيضعاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,5,نقدا فقط ,للبيع أو التبديل ,3
فولكسفاجن,جولف,2012,100000,أبيضعاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,65000,5,نقدا فقط ,للبيع فقط ,1
سكودا,اوكتافيا,2001,37000,أخضر,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,5,نقدا فقط ,للبيع فقط ,6
فولكسفاجن,باسات,2010,85000,أسودميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,190,5,نقدا فقط ,للبيع أو التبديل ,1
بيجو,بارتنر,2012,69000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,5,نقدا فقط ,للبيع فقط ,2
اوبل,كاديت,1984,13000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,184000,5,نقدا فقط ,للبيع فقط ,5
اوبل,اسكونا,1984,6000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,200,6,نقدا فقط ,للبيع فقط ,5
اوبل,زافيرا,2004,45000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,2000,7,نقدا فقط ,للبيع فقط ,3
كيا,بيكانتو,2015,59000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,30000,5,إمكانية التقسيط ,للبيع أو التبديل ,1
فورد,فوكس,2002,5500,أبيض,بنزين,خصوصي,نمرةصفراء,اوتوماتيك,الكتروني,1600,295000,5,نقدا فقط ,للبيع فقط ,3
فولكسفاجن,كادي,2015,108000,بني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,60000,7,نقدا فقط ,للبيع فقط ,1
دايو,نوبيرا,1997,22000,خمري,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,143212,5,إمكانية التقسيط ,للبيع أو التبديل ,9
بي,X3,2014,215000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,43000,5,نقدا فقط ,للبيع أو التبديل ,1
فورد,فيستا,2013,67000,أسودميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,71000,5,نقدا فقط ,للبيع فقط ,1
شفروليه,افيو,2009,45000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,1400,1,,إمكانية التقسيط ,
دراجة,سييم,2016,11500,أزرقسماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,125,4,إمكانية التقسيط ,للبيع أو التبديل ,1
هونداي,توسان,2008,66000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,121000,6,نقدا فقط ,للبيع فقط ,2
هونداي,اكسنت,2015,68000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,1400,9,نقدا فقط ,للبيع فقط ,1
سكودا,اوكتافيا,2016,95000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,56000,5,إمكانية التقسيط ,للبيع فقط ,1
بيجو,بارتنر,2011,57000,أبيضعاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,260,5,نقدا فقط ,للبيع فقط ,1
بيجو,305,1984,7500,أبيضعاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,5,نقدا فقط ,للبيع فقط ,1
ستروين,كسارا,2000,1900,سكني,بنزين,خصوصي,نمرةصفراء,اوتوماتيك,الكتروني,1600,,6,نقدا فقط ,للبيع فقط ,1
هونداي,كليك,2007,42000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,8000,5,نقدا فقط ,للبيع فقط ,1
بي,520,1994,25000,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,200000,5,إمكانية التقسيط ,للبيع فقط ,5
هونداي,i25,2014,60000,أسودميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000,5,نقدا فقط ,للبيع أو التبديل ,1
بيجو,307,2007,38500,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,5,نقدا فقط ,للبيع أو التبديل ,5
هونداي,i30,2008,55000,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,1600,5,,نقدا فقط ,
فولكسفاجن,CC,2010,87000,أبيضعاجي,بنزين,خصوصي,فلسطينية,نصفاوتوماتيك,الكتروني,2000,,6,إمكانية التقسيط ,للبيع أو التبديل ,2
كيا,سورينتو,2013,120000,فضي,ديزل,خصوصي,فلسطينية,نصفاوتوماتيك,الكتروني,2200,2200,1,,نقدا فقط ,
دايو,ماتيز,2002,22000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,800,90000,5,نقدا فقط ,للبيع أو التبديل ,3
هونداي,كليك,2008,42000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,5,نقدا فقط ,للبيع أو التبديل ,3
كيا,فورتي,2009,44500,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,99000,5,نقدا فقط ,للبيع أو التبديل ,3
اوبل,أوميغا,1997,33000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,200000,5,نقدا فقط ,للبيع فقط ,2
كيا,فورتي,2008,59500,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,82000,5,نقدا فقط ,للبيع أو التبديل ,3
كيا,ريو,2007,3800,أبيضعاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1500,,5,إمكانية التقسيط ,للبيع فقط ,4
اوبل,استرا,1999,28500,أخضر,بنزين,تأجير,فلسطينية,عادي,الكتروني,1400,1000,5,إمكانية التقسيط ,للبيع فقط ,2
سكودا,اوكتافيا,2009,55000,أبيضعاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,5,إمكانية التقسيط ,للبيع فقط ,2
فولكسفاجن,باسات,1998,38000,أزرقسماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,166000,5,نقدا فقط ,للبيع أو التبديل ,2
سكودا,اوكتافيا,2007,50000,فيراني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,275000,5,نقدا فقط ,للبيع أو التبديل ,2
هونداي,اكسنت,2013,67000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000,5,نقدا فقط ,للبيع فقط ,3
اوبل,كورسا,2013,54000,فيراني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,,5,إمكانية التقسيط ,للبيع فقط ,1
مازدا,6,2015,170000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,50000,5,نقدا فقط ,للبيع فقط ,1
كيا,سبورتاج,2011,89500,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,2000,15,نقدا فقط ,للبيع أو التبديل ,1
سكودا,اوكتافيا,2008,60000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,1900,5,نقدا فقط ,للبيع فقط ,2
فولكسفاجن,طوارق,2008,130000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3600,123000,5,نقدا فقط ,للبيع أو التبديل ,2
فولكسفاجن,جولف,2010,78000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,1400,1,,إمكانية التقسيط ,
سكودا,اوكتافيا,2008,63000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,500000,5,نقدا فقط ,للبيع فقط ,4
ايسوزو,تروبر,1999,59000,ذهبي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,3000,,7,إمكانية التقسيط ,للبيع أو التبديل ,5
هونداي,جيتس,2008,41000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,150,5,نقدا فقط ,للبيع أو التبديل ,4
اوبل,اسكونا,1984,11000,فضي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,100000,5,نقدا فقط ,للبيع فقط ,4
فولكسفاجن,كادي,2014,105000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,60000,7,نقدا فقط ,للبيع أو التبديل ,1
سيت,ابيزا,2014,58000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,80000,5,إمكانية التقسيط ,للتبديل فقط ,1
كيا,بيكانتو,2014,52000,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1100,20000,5,نقدا فقط ,للبيع فقط ,1
هونداي,سانتافيه,2014,135000,أبيضعاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,87000,5,نقدا فقط ,للبيع أو التبديل ,1
مرسيدس,C250,2015,175000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,2500,3,نقدا فقط ,للبيع فقط ,1
بيجو,206,2007,28000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,1600,1,نقدا فقط ,للبيع فقط ,4
شفروليه,اوبترا,2011,39000,أزرقسماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,1600,1,إمكانية التقسيط ,للبيع أو التبديل ,2
فورد,كونيكت,2005,45000,أبيضعاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,1850,22000,5,نقدا فقط ,للبيع فقط ,2
